index,words,tf,idf,tfidf
165,expect,3.0,4.675162557808126,14.02548767342438
166,luggage,4.0,5.368309738368072,21.473238953472286
167,trust,2.0,6.061456918928017,12.122913837856034
168,forget,2.0,6.061456918928017,12.122913837856034
169,etc,2.0,6.061456918928017,12.122913837856034
170,bar,2.0,6.061456918928017,12.122913837856034
171,extra,3.0,5.655991810819852,16.967975432459557
172,planned,2.0,6.061456918928017,12.122913837856034
173,stray,2.0,6.061456918928017,12.122913837856034
174,jetlag,2.0,6.061456918928017,12.122913837856034
175,path,6.0,4.962844630259907,29.777067781559442
176,part,3.0,5.655991810819852,16.967975432459557
177,half,4.0,5.368309738368072,21.473238953472286
178,scar,2.0,6.061456918928017,12.122913837856034
179,photo,2.0,6.061456918928017,12.122913837856034
180,area,2.0,6.061456918928017,12.122913837856034
181,visit,2.0,6.061456918928017,12.122913837856034
182,night,4.0,5.368309738368072,21.473238953472286
183,overland,3.0,5.655991810819852,16.967975432459557
184,location,3.0,5.655991810819852,16.967975432459557
185,bad,2.0,6.061456918928017,12.122913837856034
186,flexibility,3.0,5.655991810819852,16.967975432459557
187,others,2.0,6.061456918928017,12.122913837856034
188,short,2.0,6.061456918928017,12.122913837856034
189,life,3.0,5.655991810819852,16.967975432459557
190,picture,3.0,5.655991810819852,16.967975432459557
191,friendly,2.0,6.061456918928017,12.122913837856034
192,bag,3.0,5.655991810819852,16.967975432459557
193,lax,2.0,4.1155467698727035,8.231093539745407
194,activity,2.0,6.061456918928017,12.122913837856034
195,carron,2.0,6.061456918928017,12.122913837856034
196,check,3.0,5.655991810819852,16.967975432459557
197,trail,2.0,6.061456918928017,12.122913837856034
198,going,2.0,6.061456918928017,12.122913837856034
199,culture,3.0,5.655991810819852,16.967975432459557
200,immense,2.0,6.061456918928017,12.122913837856034
201,solo,2.0,6.061456918928017,12.122913837856034
202,expectation,4.0,5.368309738368072,21.473238953472286
203,that,2.0,6.061456918928017,12.122913837856034
204,okay,2.0,6.061456918928017,12.122913837856034
205,unexpected,2.0,6.061456918928017,12.122913837856034
206,first,2.0,6.061456918928017,12.122913837856034
207,package,2.0,6.061456918928017,12.122913837856034
208,sure,2.0,6.061456918928017,12.122913837856034
209,goose,4.0,5.368309738368072,21.473238953472286
210,stand,2.0,6.061456918928017,12.122913837856034
211,someone,2.0,6.061456918928017,12.122913837856034
212,style,2.0,6.061456918928017,12.122913837856034
213,friend,4.0,4.962844630259907,19.851378521039628
214,rental,2.0,6.061456918928017,12.122913837856034
215,insurance,2.0,6.061456918928017,12.122913837856034
216,fly,2.0,6.061456918928017,12.122913837856034
217,stupid,2.0,6.061456918928017,12.122913837856034
218,like,6.0,4.962844630259907,29.777067781559442
219,act,3.0,4.808693950432649,14.426081851297948
220,fewer,2.0,6.061456918928017,12.122913837856034
221,lightly,3.0,5.655991810819852,16.967975432459557
222,possible,4.0,5.368309738368072,21.473238953472286
223,enough,2.0,6.061456918928017,12.122913837856034
224,clothes,4.0,5.368309738368072,21.473238953472286
225,double,2.0,6.061456918928017,12.122913837856034
226,camera,2.0,6.061456918928017,12.122913837856034
227,stress,3.0,5.655991810819852,16.967975432459557
228,learn,2.0,6.061456918928017,12.122913837856034
229,language,2.0,6.061456918928017,12.122913837856034
230,rest,2.0,5.368309738368072,10.736619476736143
231,panic,3.0,5.655991810819852,16.967975432459557
232,openminded,3.0,5.655991810819852,16.967975432459557
233,wear,2.0,6.061456918928017,12.122913837856034
234,anything,2.0,6.061456918928017,12.122913837856034
235,journal,2.0,6.061456918928017,12.122913837856034
236,know,2.0,6.061456918928017,12.122913837856034
237,wallet,2.0,6.061456918928017,12.122913837856034
238,seek,2.0,6.061456918928017,12.122913837856034
239,cut,2.0,6.061456918928017,12.122913837856034
240,street,2.0,6.061456918928017,12.122913837856034
241,choose,2.0,6.061456918928017,12.122913837856034
242,travelling,2.0,6.061456918928017,12.122913837856034
243,behind,2.0,6.061456918928017,12.122913837856034
